Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Tissue
SRR13319458,RNA-Seq,84,2836844136,PRJNA688321,SAMN17173512,1227915836,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746938,GSM4991245,Donor 1,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991245,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319459,RNA-Seq,84,2656543092,PRJNA688321,SAMN17173511,1127652528,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746939,GSM4991246,Donor 1,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991246,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319460,RNA-Seq,84,1685802804,PRJNA688321,SAMN17173510,735794752,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746940,GSM4991247,Donor 2,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991247,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319461,RNA-Seq,84,2505087480,PRJNA688321,SAMN17173509,1086910027,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746941,GSM4991248,Donor 2,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991248,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319462,RNA-Seq,84,2867818128,PRJNA688321,SAMN17173508,1242784855,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746942,GSM4991249,Donor 3,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991249,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319463,RNA-Seq,84,3555716724,PRJNA688321,SAMN17173507,1533141820,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746943,GSM4991250,Donor 3,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991250,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319464,RNA-Seq,84,1953680820,PRJNA688321,SAMN17173506,863966491,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746944,GSM4991251,Donor 1,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991251,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319465,RNA-Seq,84,3716061972,PRJNA688321,SAMN17173505,1586164095,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746945,GSM4991252,Donor 1,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991252,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319466,RNA-Seq,84,3184829340,PRJNA688321,SAMN17173504,1377104278,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746946,GSM4991253,Donor 2,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991253,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319467,RNA-Seq,84,2801161104,PRJNA688321,SAMN17173503,1219492226,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9746947,GSM4991254,Donor 2,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991254,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319468,RNA-Seq,84,2393936328,PRJNA688321,SAMN17173502,1037114206,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746948,GSM4991255,Donor 3,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991255,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319469,RNA-Seq,84,3154791192,PRJNA688321,SAMN17173501,1357401298,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746949,GSM4991256,Donor 3,Influenza A,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991256,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319470,RNA-Seq,84,2814754572,PRJNA688321,SAMN17173500,1214911876,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9746950,GSM4991257,Donor 1,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991257,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319471,RNA-Seq,84,2201406732,PRJNA688321,SAMN17173498,950470134,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9746951,GSM4991258,Donor 1,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991258,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319472,RNA-Seq,84,2055526452,PRJNA688321,SAMN17173524,891276372,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9746952,GSM4991259,Donor 2,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991259,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319473,RNA-Seq,84,2269426740,PRJNA688321,SAMN17173523,981834358,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746953,GSM4991260,Donor 2,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991260,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319474,RNA-Seq,84,2651153568,PRJNA688321,SAMN17173522,1141210093,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746954,GSM4991261,Donor 3,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991261,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319475,RNA-Seq,84,2620533384,PRJNA688321,SAMN17173521,1131582417,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9746955,GSM4991262,Donor 3,SARS-CoV-2,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991262,Nasal turbinate tissue,SRP299574,24 hours post infection,Nasal turbinate
SRR13319476,RNA-Seq,84,1575130704,PRJNA688321,SAMN17173520,690044362,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9746956,GSM4991263,Donor 4,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991263,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319477,RNA-Seq,84,1571976672,PRJNA688321,SAMN17173519,678148392,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9746957,GSM4991264,Donor 4,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991264,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319478,RNA-Seq,84,1657305552,PRJNA688321,SAMN17173518,724120671,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9746958,GSM4991265,Donor 5,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991265,Lung tissue,SRP299574,24 hours post infection,Lung
SRR13319479,RNA-Seq,84,1516323984,PRJNA688321,SAMN17173517,656020041,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9746959,GSM4991266,Donor 5,Uninfected,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-21T00:00:00Z,GSM4991266,Lung tissue,SRP299574,24 hours post infection,Lung
