Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,infection,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,Treatment
SRR18097076,RNA-Seq,222,12523349226,PRJNA809199,SAMN26156329,3768137374,"INFECTION GENETICS, HZI",public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX14248034,influenza B,Illumina NovaSeq 6000,GSM5910114,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910114,lung,SRP360905,Lung,FluB_337_48hpi
SRR18097077,RNA-Seq,222,13130901732,PRJNA809199,SAMN26156330,3957514952,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14248033,influenza B,Illumina NovaSeq 6000,GSM5910113,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910113,lung,SRP360905,Lung,FluB_337_24hpi
SRR18097078,RNA-Seq,222,13170579570,PRJNA809199,SAMN26156331,3959681386,"INFECTION GENETICS, HZI",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14248032,mock,Illumina NovaSeq 6000,GSM5910112,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910112,lung,SRP360905,Lung,Mock_48hpi
SRR18097079,RNA-Seq,222,12414486198,PRJNA809199,SAMN26156332,3736340204,"INFECTION GENETICS, HZI",public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14248031,influenza B,Illumina NovaSeq 6000,GSM5910111,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910111,lung,SRP360905,Lung,FluB_Bay_48hpi
SRR18097080,RNA-Seq,222,15349350174,PRJNA809199,SAMN26156333,4618940358,"INFECTION GENETICS, HZI",public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14248030,influenza B,Illumina NovaSeq 6000,GSM5910110,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910110,lung,SRP360905,Lung,FluB_Bay_24hpi
SRR18097081,RNA-Seq,222,16188297942,PRJNA809199,SAMN26156334,4873256926,"INFECTION GENETICS, HZI",public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX14248029,influenza B,Illumina NovaSeq 6000,GSM5910109,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910109,lung,SRP360905,Lung,FluB_337_48hpi
SRR18097082,RNA-Seq,222,14701527756,PRJNA809199,SAMN26156335,4416955067,"INFECTION GENETICS, HZI",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14248028,mock,Illumina NovaSeq 6000,GSM5910108,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910108,lung,SRP360905,Lung,Mock_48hpi
SRR18097083,RNA-Seq,222,14083331016,PRJNA809199,SAMN26156336,4265184518,"INFECTION GENETICS, HZI",public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX14248027,influenza B,Illumina NovaSeq 6000,GSM5910107,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910107,lung,SRP360905,Lung,FluB_Bay_48hpi
SRR18097084,RNA-Seq,222,13199951058,PRJNA809199,SAMN26156337,3968884707,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14248026,influenza B,Illumina NovaSeq 6000,GSM5910106,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910106,lung,SRP360905,Lung,FluB_Bay_24hpi
SRR18097085,RNA-Seq,222,14691531318,PRJNA809199,SAMN26156338,4417755858,"INFECTION GENETICS, HZI",public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX14248025,influenza B,Illumina NovaSeq 6000,GSM5910105,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910105,lung,SRP360905,Lung,FluB_337_48hpi
SRR18097086,RNA-Seq,222,15333362400,PRJNA809199,SAMN26156339,4606327413,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX14248024,influenza B,Illumina NovaSeq 6000,GSM5910104,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910104,lung,SRP360905,Lung,FluB_337_24hpi
SRR18097087,RNA-Seq,222,14457948468,PRJNA809199,SAMN26156340,4367263468,"INFECTION GENETICS, HZI",public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX14248023,mock,Illumina NovaSeq 6000,GSM5910103,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910103,lung,SRP360905,Lung,Mock_48hpi
SRR18097088,RNA-Seq,222,11668824384,PRJNA809199,SAMN26156341,3521506019,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX14248022,influenza B,Illumina NovaSeq 6000,GSM5910102,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910102,lung,SRP360905,Lung,FluB_337_24hpi
SRR18097074,RNA-Seq,222,15285042324,PRJNA809199,SAMN26156327,4597282344,"INFECTION GENETICS, HZI",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX14248036,influenza B,Illumina NovaSeq 6000,GSM5910116,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910116,lung,SRP360905,Lung,FluB_Bay_48hpi
SRR18097075,RNA-Seq,222,15297721854,PRJNA809199,SAMN26156328,4595750626,"INFECTION GENETICS, HZI",public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX14248035,influenza B,Illumina NovaSeq 6000,GSM5910115,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM5910115,lung,SRP360905,Lung,FluB_Bay_24hpi
