Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,virus_infection
SRR19663483,RNA-Seq,302,32664052126,PRJNA849574,SAMN29094696,10271100820,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX15713026,WT,Illumina NovaSeq 6000,GSM6245816,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245816,A549,SRP381896,PR8
SRR19663484,RNA-Seq,302,26530571650,PRJNA849574,SAMN29094697,8420704667,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX15713025,WT,Illumina NovaSeq 6000,GSM6245815,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245815,A549,SRP381896,PR8
SRR19663485,RNA-Seq,302,95841903392,PRJNA849574,SAMN29094698,30870267143,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX15713024,WT,Illumina NovaSeq 6000,GSM6245814,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245814,A549,SRP381896,PR8
SRR19663486,RNA-Seq,302,26511661618,PRJNA849574,SAMN29094699,8394224473,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX15713023,WT,Illumina NovaSeq 6000,GSM6245813,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245813,A549,SRP381896,Mock
SRR19663487,RNA-Seq,302,29634797940,PRJNA849574,SAMN29094700,9331358851,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX15713022,WT,Illumina NovaSeq 6000,GSM6245812,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245812,A549,SRP381896,Mock
SRR19663488,RNA-Seq,302,27908720564,PRJNA849574,SAMN29094701,8886668815,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX15713021,WT,Illumina NovaSeq 6000,GSM6245811,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245811,A549,SRP381896,Mock
SRR19663489,RNA-Seq,302,30550063904,PRJNA849574,SAMN29094702,9695100358,A549,"INFECTION GENETICS, HZI",public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX15713020,TRIM28KO,Illumina NovaSeq 6000,GSM6245810,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245810,A549,SRP381896,PR8
SRR19663490,RNA-Seq,302,24372110908,PRJNA849574,SAMN29094703,7697143781,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX15713019,TRIM28KO,Illumina NovaSeq 6000,GSM6245809,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245809,A549,SRP381896,PR8
SRR19663491,RNA-Seq,302,28536981734,PRJNA849574,SAMN29094704,8956835527,A549,"INFECTION GENETICS, HZI",public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX15713018,TRIM28KO,Illumina NovaSeq 6000,GSM6245808,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245808,A549,SRP381896,PR8
SRR19663492,RNA-Seq,302,23793791478,PRJNA849574,SAMN29094705,7532292681,A549,"INFECTION GENETICS, HZI",public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX15713017,TRIM28KO,Illumina NovaSeq 6000,GSM6245807,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-08-31T00:00:00Z,GSM6245807,A549,SRP381896,Mock
