"Run","Animal.ID","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","DPI","Experiment","GEO_Accession..exp.","infection_route","Instrument","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","create_date","version","Sample.Name","source_name","SRA.Study","status","Tissue","virus_dose","virus","Animal_ID","cc_line","day_post.infection","infection_condtion","Treatment"
"SRR5630527","Ani1","RNA-Seq",196,4509745579,"PRJNA388501","SAMN07178092",2899311229,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870735","GSM2644395","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:08:00Z",1,"GSM2644395","Whole blood\, oral 100PFU\, day 0","SRP108301","Control","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630528","Ani1","RNA-Seq",196,1272726943,"PRJNA388501","SAMN07178092",684596388,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870735","GSM2644395","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644395","Whole blood\, oral 100PFU\, day 0","SRP108301","Control","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630529","Ani1","RNA-Seq",197,5341985454,"PRJNA388501","SAMN07178091",3796592071,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870736","GSM2644396","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:13:00Z",1,"GSM2644396","Whole blood\, oral 100PFU\, day 3","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630530","Ani1","RNA-Seq",197,1121459050,"PRJNA388501","SAMN07178091",603323720,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","3","SRX2870736","GSM2644396","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644396","Whole blood\, oral 100PFU\, day 3","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630531","Ani1","RNA-Seq",196,5524531447,"PRJNA388501","SAMN07178090",3913378210,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870737","GSM2644397","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:15:00Z",1,"GSM2644397","Whole blood\, oral 100PFU\, day 6","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630532","Ani1","RNA-Seq",196,923592515,"PRJNA388501","SAMN07178090",494133148,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","6","SRX2870737","GSM2644397","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:00:00Z",1,"GSM2644397","Whole blood\, oral 100PFU\, day 6","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630533","Ani1","RNA-Seq",197,3200851928,"PRJNA388501","SAMN07178089",1956409979,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870738","GSM2644398","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:06:00Z",1,"GSM2644398","Whole blood\, oral 100PFU\, day 10","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630534","Ani1","RNA-Seq",197,1168663040,"PRJNA388501","SAMN07178089",628779328,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","10","SRX2870738","GSM2644398","Oral","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:01:00Z",1,"GSM2644398","Whole blood\, oral 100PFU\, day 10","SRP108301","Infected","Whole blood","100 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630535","Ani3","RNA-Seq",197,4139830962,"PRJNA388501","SAMN07178088",2636391975,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870739","GSM2644399","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:07:00Z",1,"GSM2644399","Whole blood\, intramuscular 10PFU\, day 0","SRP108301","Control","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
"SRR5630536","Ani3","RNA-Seq",196,993789273,"PRJNA388501","SAMN07178088",530408301,"GEO","public","fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","0","SRX2870739","GSM2644399","Intramuscular","Illumina HiSeq 2500","PAIRED","cDNA","TRANSCRIPTOMIC","Macaca fascicularis","ILLUMINA","2017-11-15T00:00:00Z","2017-05-30T20:02:00Z",1,"GSM2644399","Whole blood\, intramuscular 10PFU\, day 0","SRP108301","Control","Whole blood","10 PFU","EBOV Makona",NA,NA,NA,NA,NA
